順位	キャラ名	character name	票数
1	ジョウイ	Jowy	5
2	ナッシュ	Nash	4
3	クリス・ライトフェロー	Chris	3
3	クリン	Krin	3
3	ビクトール	Viktor	3
3	フリック	Flik	3
4	4主	Lazlo	2
4	グレミオ	Gremio	2
4	ゲオルグ・プライム	Georg	2
4	シュウ	Shu	2
4	セラ	Sarah	2
4	ビッキー	Viki	2
4	ペシュメルガ	Pesmerga	2
4	ルック	Luc	2
5	2主	Riou	1
5	アストリッド	Astrid	1
5	イザベル	Isabel	1
5	キリル	Kyril	1
5	クインシー	Quincy	1
5	シエラ	Sierra	1
5	ニナ	Nina	1
5	ベルクート	Belcoot	1
5	ミアキス	Miakis	1
5	ミツバ	Mitsuba	1
5	リヒャルト	Richard	1
5	ルカ・ブライト	Luca	1
5	ルクレティア	Lucretia	1
